"id";"name";"record_type";"record_id";"blob_id";"created_at"
1;"video";"Exercise";10;1;"2020-02-20 01:12:10"
3;"video";"Exercise";4;3;"2020-02-20 01:23:59"
4;"video";"Exercise";5;4;"2020-02-20 01:24:30"
5;"video";"Exercise";6;5;"2020-02-20 01:24:49"
6;"video";"Exercise";8;6;"2020-02-20 01:25:02"
7;"video";"Exercise";41;7;"2020-02-20 01:27:45"
8;"video";"Exercise";55;8;"2020-02-20 01:31:25"
10;"video";"Exercise";68;10;"2020-02-20 02:02:33"
11;"video";"Exercise";46;11;"2020-02-26 15:12:40"
12;"video";"Exercise";69;12;"2020-02-27 23:22:53"
13;"video";"Exercise";71;13;"2020-03-17 09:15:46"
14;"video";"Exercise";72;14;"2020-05-06 21:44:13"
15;"video";"Exercise";1;15;"2020-06-09 14:03:24"
24;"video";"Video";8;24;"2020-06-10 23:27:50"
25;"video";"Video";9;25;"2020-06-11 20:48:02"
26;"video";"Video";10;26;"2020-06-12 00:12:43"
