"id";"name";"created_at";"updated_at";"group"
1;"Exercise Mat";"2020-07-23 16:55:51";"2020-07-23 16:55:51";2
2;"Yoga";"2020-07-23 17:00:17";"2020-07-23 17:00:17";3
3;"No Equipment";"2020-07-23 17:00:17";"2020-07-23 17:00:17";1
4;"Stretching";"2020-07-23 17:00:17";"2020-07-23 17:00:17";0
5;"Partner";"2020-07-23 17:00:17";"2020-07-23 17:00:17";2
6;"Bodyweight";"2020-07-23 17:00:17";"2020-07-23 17:00:17";1
7;"Kettlebells";"2020-07-23 17:00:17";"2020-07-23 17:00:17";2
8;"Gym Equipment";"2020-07-23 17:00:17";"2020-07-23 17:00:17";1
9;"Strength";"2020-07-23 17:00:17";"2020-07-23 17:00:17";0
10;"Pilates";"2020-07-23 17:00:17";"2020-07-23 17:00:17";3
11;"Warmup";"2020-07-23 17:00:18";"2020-07-23 17:00:18";0
12;"Cooldown";"2020-07-23 17:00:18";"2020-07-23 17:00:18";0
13;"Cardio";"2020-07-23 17:00:18";"2020-07-23 17:00:18";0
14;"Balance";"2020-07-23 17:00:18";"2020-07-23 17:00:18";0
15;"Dumbbells";"2020-07-23 17:00:18";"2020-07-23 17:00:18";2
16;"Home Equipment";"2020-07-23 17:00:18";"2020-07-23 17:00:18";1
17;"Dance";"2020-07-23 17:00:18";"2020-07-23 17:00:18";3
18;"Kickboxing";"2020-07-23 17:00:19";"2020-07-23 17:00:19";3
19;"Running";"2020-07-23 17:00:19";"2020-07-23 17:00:19";3
20;"Jump Rope";"2020-07-23 17:00:19";"2020-07-23 17:00:19";2
21;"Crossfit";"2020-07-23 17:00:19";"2020-07-23 17:00:19";3
22;"Chair";"2020-07-23 17:00:20";"2020-07-23 17:00:20";2
23;"Box or Step";"2020-07-23 17:00:20";"2020-07-23 17:00:20";2
24;"Resistance Bands";"2020-07-23 17:00:20";"2020-07-23 17:00:20";2
25;"Foam Roller";"2020-07-23 17:00:21";"2020-07-23 17:00:21";2
26;"Stability Ball";"2020-07-23 17:00:23";"2020-07-23 17:00:23";2
27;"Cardio Machine";"2020-07-23 17:00:23";"2020-07-23 17:00:23";2
28;"Wall";"2020-07-23 17:00:29";"2020-07-23 17:00:29";2
29;"Pull Up Bar";"2020-07-23 17:00:30";"2020-07-23 17:00:30";2
30;"Bench";"2020-07-23 17:00:31";"2020-07-23 17:00:31";2
31;"Strength Machine";"2020-07-23 17:00:31";"2020-07-23 17:00:31";2
32;"Exercise Machine";"2020-07-23 17:00:31";"2020-07-23 17:00:31";2
33;"Biking";"2020-07-23 17:00:31";"2020-07-23 17:00:31";3
34;"Barbells";"2020-07-23 17:00:31";"2020-07-23 17:00:31";2
35;"BOSU";"2020-07-23 17:00:32";"2020-07-23 17:00:32";3
36;"Rock Climbing";"2020-07-23 17:00:33";"2020-07-23 17:00:33";3
37;"Rings";"2020-07-23 17:00:39";"2020-07-23 17:00:39";2
38;"Sandbags";"2020-07-23 17:00:40";"2020-07-23 17:00:40";2
39;"Medicine Ball";"2020-07-23 17:00:40";"2020-07-23 17:00:40";2
40;"Dip Bar";"2020-07-23 17:01:16";"2020-07-23 17:01:16";2
