"id";"created_at";"updated_at";"youtube_url";"start_time";"end_time"
1;"2020-06-24 14:58:15";"2020-08-02 15:32:25";"QjaQFKnQG-M";"00:18";"00:20"
2;"2020-06-24 15:00:44";"2020-06-24 15:00:44";"";"";""
3;"2020-06-24 15:01:18";"2020-06-24 15:01:18";"";"";""
4;"2020-06-24 15:01:52";"2020-06-24 15:01:52";"";"";""
5;"2020-06-24 15:02:04";"2020-06-24 15:02:04";"";"";""
6;"2020-06-24 15:02:53";"2020-06-24 15:02:53";"";"";""
7;"2020-06-24 15:03:02";"2020-06-24 15:03:02";"";"";""
8;"2020-06-24 15:05:16";"2020-06-24 15:05:16";"";"";""
9;"2020-06-24 15:05:23";"2020-06-24 15:05:23";"";"";""
10;"2020-06-24 15:05:23";"2020-06-24 15:05:23";"";"";""
11;"2020-06-30 20:32:22";"2020-06-30 20:32:22";"";"";""
12;"2020-06-30 20:33:15";"2020-06-30 20:33:15";"";"";""
13;"2020-06-30 20:33:28";"2020-06-30 20:33:28";"";"";""
14;"2020-06-30 20:33:34";"2020-06-30 20:33:34";"";"";""
15;"2020-06-30 20:33:35";"2020-06-30 20:33:35";"";"";""
16;"2020-06-30 20:33:44";"2020-06-30 20:33:44";"";"";""
17;"2020-06-30 20:34:39";"2020-06-30 20:34:39";"";"";""
18;"2020-06-30 20:34:49";"2020-06-30 20:34:49";"";"";""
19;"2020-06-30 20:35:03";"2020-06-30 20:35:03";"";"";""
